,State,Individuals_Affected,year
135,TX,25000,2010
136,IL,657,2010
137,MA,11440,2010
138,KY,2089,2010
139,MO,1907,2010
140,PA,21000,2010
142,ID,5500,2010
143,CA,10100,2010
144,WA,2698,2010
145,TN,1711,2010
146,CT,1000,2010
147,KY,2027,2010
148,IL,7081,2010
149,OR,4328,2010
150,NM,1000,2010
151,MA,24750,2010
152,NJ,956,2010
153,NJ,3630,2010
154,NY,1200,2010
155,NY,857,2010
156,DE,22642,2010
157,VA,2739,2010
159,NV,507,2010
160,RI,1361,2010
161,IA,19222,2010
162,IN,2000,2010
163,CA,33000,2010
164,KS,1200,2010
165,MN,1270,2010
166,NY,9000,2010
167,OH,2123,2010
168,AK,2000,2010
169,IN,1199,2010
170,MA,20000,2010
171,CA,1474,2010
172,CA,1474,2010
173,NY,6800,2010
174,IL,967,2010
175,OK,19200,2010
176,CA,928,2010
177,MA,11000,2010
178,NY,578,2010
179,TX,4700,2010
180,KY,2200,2010
181,MD,692,2010
182,TX,585,2010
183,UT,1298,2010
184,WA,9493,2010
185,AR,1000,2010
187,CA,716,2010
189,CT,2345,2010
190,MS,1104,2010
191,PR,115000,2010
192,CT,12000,2010
193,NE,1550,2010
194,NY,535,2010
195,IN,845,2010
196,MO,1400,2010
197,MI,3700,2010
198,FL,1500,2010
199,NJ,1744,2010
200,CA,771,2010
201,OK,1950,2010
202,PA,613,2010
203,NY,542,2010
205,LA,9475,2010
206,TX,800,2010
207,PR,1000,2010
209,MD,1000,2010
210,IL,556,2010
211,WI,3288,2010
213,CA,1250,2010
214,WI,585,2010
215,IN,757,2010
216,MN,3159,2010
217,PA,2928,2010
218,KY,24600,2010
219,MD,800,2010
220,AL,2000,2010
221,PA,808,2010
222,FL,156000,2010
224,NH,231400,2010
225,FL,2200,2010
226,VA,11982,2010
227,IN,1848,2010
228,TX,9922,2010
229,WA,1250,2010
230,SC,5596,2010
231,MI,656,2010
232,SC,16200,2010
233,TN,4800,2010
234,WA,12009,2010
235,TX,4486,2010
236,TX,8241,2010
237,TN,500,2010
238,CO,546,2010
242,MO,800,2010
243,NY,1700000,2010
244,CA,2250,2010
247,AZ,2291,2010
248,PR,2621,2010
250,NY,500,2010
251,CO,4500,2010
252,FL,7366,2010
253,MA,942,2010
255,OK,600,2010
257,TX,654,2010
260,WV,1470,2010
282,OH,500,2010
288,PA,1388,2010
299,MI,11387,2010
327,GA,7500,2010
357,CA,19651,2010
363,PR,2000,2010
443,IN,1423,2010
525,OH,15000,2010
527,GA,12937,2010
649,MA,4125,2010
698,CT,1382,2010
858,FL,10680,2010
913,WA,2500,2010
922,PR,398000,2010
1037,OR,17914,2010
239,KY,18871,2011
240,MT,37000,2011
241,WA,3100,2011
245,IL,2700,2011
246,WV,3655,2011
249,MI,2777,2011
254,KY,8845,2011
256,MO,765,2011
258,NY,670,2011
259,AL,20744,2011
261,CA,667,2011
262,CA,514330,2011
263,AK,1700,2011
264,AZ,635,2011
265,AZ,10000,2011
266,CT,93500,2011
267,OK,84000,2011
268,MO,935,2011
269,OK,132940,2011
270,SC,2717,2011
271,CA,1900000,2011
273,MN,1215,2011
274,WI,675,2011
275,WY,15000,2011
276,NC,6000,2011
277,IL,845,2011
278,IL,686,2011
279,AZ,9393,2011
280,IL,532,2011
281,IL,1070,2011
283,NH,5960,2011
284,TX,1500,2011
285,MA,563,2011
286,IN,22001,2011
287,MO,850,2011
289,PR,32390,2011
290,PR,24361,2011
291,AZ,654,2011
292,FL,8000,2011
293,CA,620,2011
294,TX,1031,2011
295,NY,550,2011
296,NY,550,2011
297,MD,13412,2011
298,PR,6006,2011
300,SC,400000,2011
301,KY,1986,2011
302,WA,2700,2011
303,OR,17000,2011
304,NC,1263,2011
305,AZ,2000,2011
306,SC,1280,2011
307,CA,1192,2011
308,GA,884,2011
309,WV,950,2011
310,CA,15677,2011
311,WA,1105,2011
312,FL,3463,2011
313,TN,810,2011
314,TN,705,2011
315,MO,1288,2011
316,AZ,175350,2011
317,OH,78042,2011
318,LA,2000,2011
319,CA,694,2011
320,CO,3589,2011
321,CA,10190,2011
323,NY,712,2011
324,AL,880,2011
325,MI,5000,2011
326,PR,2800,2011
328,MA,2021,2011
329,GA,25330,2011
330,VA,700,2011
331,CA,4573,2011
332,TN,1378,2011
333,IL,501,2011
334,KY,3604,2011
335,TX,1870,2011
336,OR,1200,2011
338,MA,638,2011
339,IN,506,2011
340,NJ,6443,2011
341,NJ,8795,2011
342,NJ,15015,2011
343,NJ,6179,2011
344,WA,3950,2011
345,DE,948,2011
346,MD,2459,2011
347,GA,63425,2011
348,NJ,6785,2011
349,NJ,6950,2011
350,PR,5848,2011
351,TX,10345,2011
352,IL,815,2011
353,IL,32008,2011
354,KY,1432,2011
355,PA,3000,2011
356,IL,2000,2011
358,CA,1800,2011
359,AR,3116,2011
360,IN,2059,2011
361,TX,1696,2011
362,WI,3000,2011
364,TX,2541,2011
365,GA,863,2011
366,MS,1797,2011
367,TX,1300,2011
368,WA,2367,2011
369,PA,4000,2011
370,IL,518,2011
371,TX,1259,2011
372,PA,507,2011
373,NY,2600,2011
374,PA,579,2011
375,TN,731,2011
376,PR,2209,2011
377,TN,690,2011
378,NE,1631,2011
379,NE,705,2011
380,MI,520,2011
381,IN,3266,2011
382,MA,2200,2011
383,FL,1055489,2011
384,CA,700,2011
385,MN,2600,2011
386,MN,6697,2011
387,MA,599,2011
388,MN,3994,2011
389,MD,1500,2011
390,NM,1537,2011
391,FL,12784,2011
392,PA,3150,2011
393,PA,500,2011
394,MA,14750,2011
395,AR,1472,2011
396,MO,7059,2011
397,TX,6672,2011
398,IN,757,2011
399,FL,2200,2011
400,DC,1526,2011
401,NY,927,2011
402,MI,1100,2011
403,NC,551,2011
404,OH,1089,2011
405,OH,946,2011
406,FL,2900,2011
407,TX,567,2011
408,PA,55000,2011
409,MD,5000,2011
410,VA,4900000,2011
411,CA,2761,2011
412,WV,12563,2011
413,KS,8275,2011
414,AL,943434,2011
415,ND,650,2011
416,TX,2464,2011
417,KY,878,2011
418,TN,1770,2011
419,FL,772,2011
420,IN,10705,2011
421,PA,2900,2011
422,IL,7226,2011
423,IL,2000,2011
424,NE,611,2011
425,GA,17000,2011
426,WA,4693,2011
428,TN,2185,2011
429,WA,7581,2011
430,TX,870,2011
431,MA,2988,2011
432,FL,1670,2011
433,NC,50000,2011
434,PA,1300,2011
435,IN,2700,2011
437,NH,771,2011
439,CA,11646,2011
440,OK,844,2011
441,VA,1444,2011
444,WA,3100,2011
445,CO,3200,2011
446,FL,1219,2011
447,MN,6678,2011
448,NC,2000,2011
449,MN,14000,2011
450,CA,1366,2011
451,MI,1700,2011
452,NJ,1287,2011
454,IN,660,2011
455,DC,1549,2011
458,OR,2300,2011
459,PA,728,2011
460,NM,7000,2011
464,TX,2559,2011
465,AK,2743,2011
479,IL,750,2011
483,MN,3537,2011
491,CA,2000,2011
494,NY,6745,2011
495,FL,9497,2011
506,AZ,42000,2011
507,TX,750,2011
517,MN,623,2011
519,MN,19100,2011
528,CT,925,2011
568,FL,105646,2011
575,NV,800,2011
593,NJ,638,2011
601,LA,10271,2011
628,FL,4907,2011
640,MI,4100,2011
661,TX,678,2011
675,FL,566,2011
692,FL,834,2011
702,IN,2608,2011
703,IN,1678,2011
704,IN,528,2011
772,CA,4479,2011
781,CA,800,2011
784,LA,6994,2011
785,OR,1361,2011
792,IN,1396,2011
794,MO,1357,2011
798,ND,10000,2011
839,MI,3947,2011
921,CA,611,2011
994,CA,5178,2011
1032,NJ,2828,2011
1041,NY,26162,2011
436,MI,1700,2012
438,KS,7757,2012
442,NY,549,2012
453,WI,698,2012
457,LA,2088,2012
461,GA,632,2012
462,PR,7706,2012
463,MD,10480,2012
466,KY,1182,2012
467,IN,20000,2012
468,PR,5994,2012
469,PR,10000,2012
470,PR,4645,2012
471,PR,27098,2012
472,CA,1431,2012
473,NY,577,2012
474,PR,7923,2012
475,CA,875,2012
476,PR,7606,2012
477,GA,513,2012
478,TX,1972,2012
480,MA,3482,2012
482,CA,712,2012
484,NY,642,2012
485,TX,502,2012
486,MI,1229,2012
487,MA,6831,2012
488,AZ,9565,2012
489,CA,1000,2012
490,TX,555,2012
492,UT,780000,2012
493,IN,1000,2012
496,WA,2100,2012
497,TX,1000,2012
498,GA,315000,2012
499,OR,20915,2012
500,CA,4400,2012
501,AR,7121,2012
502,FL,750,2012
503,SC,228435,2012
504,OR,550,2012
505,CA,961,2012
508,MI,3000,2012
509,WA,1597,2012
510,AL,1655,2012
511,TX,7000,2012
512,WV,2905,2012
513,IA,3000,2012
514,MO,1134,2012
515,MN,4000,2012
516,CA,3900,2012
518,LA,17000,2012
520,CA,1900,2012
522,FL,1137,2012
523,NE,3000,2012
524,MA,2159,2012
526,CA,745,2012
529,TX,5700,2012
530,TX,500,2012
531,WA,756,2012
532,TN,1102,2012
533,GA,824,2012
534,IN,1444,2012
535,FL,2557,2012
536,OR,11136,2012
538,FL,1409,2012
539,KY,4490,2012
540,KY,824,2012
541,MT,708,2012
542,NC,9953,2012
543,TX,585,2012
544,TX,2462,2012
545,IL,1500,2012
546,CA,2533,2012
547,CA,1112,2012
548,IA,1298,2012
549,OR,4354,2012
550,NC,2917,2012
551,MA,3900,2012
552,NY,8488,2012
553,IN,550,2012
554,IL,7067,2012
555,IN,1504,2012
556,AZ,4800,2012
557,IL,4211,2012
558,IL,1240,2012
559,CT,7461,2012
560,CT,2097,2012
561,IN,505,2012
562,OR,702,2012
563,CA,2300,2012
564,IN,890,2012
566,DC,66601,2012
567,CA,603,2012
569,PA,3183,2012
570,TX,2264,2012
571,IL,754,2012
572,FL,500,2012
573,IN,55000,2012
574,GA,4000,2012
576,WA,942,2012
577,FL,64846,2012
578,NM,2365,2012
579,VA,4873,2012
580,AR,5713,2012
581,CT,5827,2012
582,NY,13000,2012
583,CA,3031,2012
584,KY,2500,2012
585,MO,13074,2012
586,CA,65700,2012
587,KY,2376,2012
588,FL,13000,2012
589,TN,27799,2012
590,CA,116506,2012
591,GA,3440,2012
592,CA,980,2012
594,IN,2900,2012
595,PA,2600,2012
596,RI,955,2012
597,OH,500,2012
598,NY,1017,2012
599,IL,508,2012
600,FL,2560,2012
602,RI,14004,2012
603,CO,6262,2012
604,TX,5748,2012
605,CA,18000,2012
606,HI,674,2012
607,CT,14511,2012
608,NM,540,2012
609,MA,615,2012
610,IN,2575,2012
611,GA,1306,2012
612,CT,1749,2012
613,FL,10000,2012
614,OH,613,2012
615,FL,715,2012
616,KY,1548,2012
617,IL,500,2012
618,NC,1100,2012
619,CA,1370,2012
620,FL,911,2012
621,TN,774,2012
622,CA,1500,2012
623,RI,683,2012
624,GA,908,2012
625,VA,1846,2012
626,FL,949,2012
627,NC,5600,2012
629,TX,6601,2012
630,MA,1286,2012
631,NY,4929,2012
632,AR,811,2012
633,AR,7039,2012
634,AR,2863,2012
635,MI,3999,2012
636,OH,850,2012
637,NY,28187,2012
638,AZ,35488,2012
639,CA,2643,2012
641,IN,28893,2012
642,NJ,27800,2012
643,KY,1090,2012
644,MA,4343,2012
645,VA,56820,2012
646,TX,2988,2012
647,NY,1771,2012
648,CA,532,2012
650,NV,1483,2012
651,MD,635,2012
652,AZ,852,2012
653,NJ,8555,2012
654,MA,7250,2012
655,LA,1400,2012
657,NY,19178,2012
658,MO,1105,2012
659,MD,3230,2012
660,PA,1184,2012
662,NY,725,2012
663,TX,29021,2012
664,WI,2400,2012
665,TX,8911,2012
667,AL,2400,2012
668,TN,1103,2012
671,GA,500,2012
674,WI,43549,2012
676,MD,5270,2012
677,MA,716,2012
678,MO,4027,2012
680,FL,1892,2012
681,NM,778,2012
682,GA,18000,2012
683,FL,3667,2012
684,SD,8500,2012
685,AZ,501,2012
686,CA,109000,2012
689,NY,2261,2012
690,NY,28187,2012
691,IL,500,2012
695,CA,18162,2012
705,FL,628,2012
708,MS,500,2012
714,FL,1025,2012
717,NY,2360,2012
720,WI,3794,2012
726,TX,818,2012
736,CA,189489,2012
745,PA,7803,2012
752,FL,5875,2012
754,MA,1670,2012
777,CA,2864,2012
779,MO,4560,2012
845,FL,960,2012
846,VA,3645,2012
870,NC,7300,2012
883,PA,1279,2012
948,MO,10024,2012
949,CA,520,2012
950,MN,4786,2012
952,TN,1511,2012
969,MI,1087,2012
974,NY,1746,2012
975,KY,1000,2012
1002,VA,75026,2012
1028,PA,1845,2012
1031,KY,1008,2012
666,IL,16988,2013
669,NC,1000,2013
670,FL,1200,2013
672,MD,5822,2013
673,CA,1368,2013
679,GA,1819,2013
687,CA,686,2013
688,GA,3000,2013
693,PA,527,2013
694,ME,1920,2013
696,UT,6332,2013
697,OH,1200,2013
699,FL,12299,2013
700,FL,1318,2013
701,MD,6400,2013
706,OR,3269,2013
707,MA,8727,2013
709,UT,2600,2013
710,TX,697,2013
711,RI,2082,2013
712,WA,629,2013
713,CA,2400,2013
716,IL,12542,2013
718,NC,5370,2013
719,TX,554,2013
721,SC,7405,2013
722,MO,589,2013
723,OR,1076,2013
724,IN,3131,2013
725,NY,1416,2013
727,UT,857,2013
728,UT,700,2013
729,PA,14829,2013
730,NC,17300,2013
731,NC,1580,2013
732,AZ,3800,2013
733,OH,2500,2013
734,NY,537,2013
735,TX,22000,2013
737,WA,750,2013
738,TN,1180,2013
739,NC,9988,2013
740,TN,539,2013
741,NC,1924,2013
742,IN,10350,2013
743,NY,10000,2013
744,OH,9577,2013
746,IN,5388,2013
747,IN,2723,2013
748,AR,1900,2013
749,AL,3164,2013
750,NY,2434,2013
751,CA,1386,2013
753,OH,1167,2013
755,FL,877,2013
756,CA,12900,2013
757,NC,1093,2013
758,OR,959,2013
759,MO,1127,2013
760,FL,9626,2013
761,FL,5200,2013
762,IA,7335,2013
763,NE,2125,2013
764,TX,1955,2013
765,GA,679,2013
766,IN,187533,2013
767,VA,4305,2013
768,CA,8331,2013
769,FL,900,2013
770,OH,2203,2013
771,NC,609,2013
773,IL,3133,2013
774,PA,4718,2013
775,MN,2764,2013
776,TX,277014,2013
778,WY,2700,2013
782,FL,710,2013
783,NY,2700,2013
786,CO,532,2013
787,CA,1837,2013
788,AR,1911,2013
789,TX,940,2013
790,TN,32151,2013
791,OH,2045,2013
793,IN,5497,2013
795,TN,5690,2013
796,CA,1033,2013
797,TX,3200,2013
799,FL,1471,2013
800,IL,4029530,2013
801,CO,921,2013
802,TX,596,2013
803,CA,32000,2013
804,GA,654,2013
805,MO,2600,2013
806,CO,1500,2013
807,MO,10000,2013
808,OR,647,2013
809,CA,2182,2013
810,IL,1290,2013
811,PR,5000,2013
812,TN,4268,2013
813,SC,4204,2013
814,IL,2029,2013
815,IL,998,2013
817,FL,916,2013
818,CA,1009,2013
820,FL,9900,2013
821,VA,10228,2013
822,OH,1360,2013
823,CA,579,2013
824,CO,3512,2013
825,OH,517,2013
826,TN,6932,2013
827,NJ,2500,2013
828,IA,1825,2013
829,GA,5232,2013
830,CA,3553,2013
831,PA,2350,2013
832,WA,1015,2013
833,PA,2810,2013
834,NC,1310,2013
835,NY,1586,2013
836,WI,4330,2013
837,MO,3100,2013
838,SC,7120,2013
840,IN,566,2013
841,CO,606,2013
842,IL,1067,2013
843,VT,550,2013
844,AK,1556,2013
847,NY,610,2013
848,TX,949,2013
849,TX,5500,2013
852,MO,1300,2013
853,CA,3833,2013
854,WI,631,2013
855,CA,729000,2013
856,TX,5840,2013
857,FL,603,2013
859,PA,2300,2013
860,SC,3500,2013
861,TX,6284,2013
862,PA,1167,2013
863,CO,651,2013
864,NJ,1100,2013
865,CO,11500,2013
866,NC,687,2013
867,NC,1315,2013
868,PR,13336,2013
869,PR,70189,2013
871,ND,2000,2013
872,MD,7606,2013
873,AZ,1456,2013
874,NY,2279,2013
875,FL,3804,2013
876,MI,4837,2013
877,GA,1300,2013
878,WI,9328,2013
879,CA,1039,2013
880,CA,49000,2013
881,IN,1500,2013
882,WA,950,2013
884,WA,76183,2013
885,IL,2080,2013
886,IL,1573,2013
887,IL,1891,2013
888,GA,5000,2013
889,GA,4500,2013
890,IL,17350,2013
892,FL,4400,2013
893,GA,4879,2013
894,KY,535,2013
895,CA,59000,2013
896,NE,3857,2013
897,NJ,9642,2013
898,VA,1499,2013
899,WY,11935,2013
900,MT,1900,2013
901,SC,3432,2013
902,TN,2777,2013
903,PA,1674,2013
904,TX,2826,2013
905,CA,1400,2013
906,MA,832,2013
907,NC,1683,2013
908,FL,2354,2013
909,NM,12354,2013
910,CO,1918,2013
911,NJ,839711,2013
912,GA,6989,2013
914,PA,3000,2013
915,NC,48752,2013
916,CA,2500,2013
917,MS,1489,2013
918,VA,25513,2013
919,IL,22511,2013
920,OH,953,2013
924,AL,1085,2013
925,OH,1420,2013
926,WI,41437,2013
927,TX,3598,2013
928,DE,1883,2013
929,TX,405000,2013
930,CA,4676,2013
931,CA,3026,2013
932,GA,841,2013
933,OH,4230,2013
934,TN,9602,2013
935,CT,858,2013
936,MI,5370,2013
937,KS,1700,2013
938,NY,937,2013
939,NY,2172,2013
941,WA,3104,2013
943,FL,13074,2013
944,PA,593,2013
945,OH,1139,2013
946,CA,2269,2013
947,IN,1142,2013
951,NJ,1411,2013
953,VA,3458,2013
954,OH,8845,2013
955,OH,504,2013
956,NC,548,2013
958,AR,600,2013
959,CA,3534,2013
960,TX,3300,2013
962,AL,1145,2013
963,AL,1179,2013
966,CA,7800,2013
967,PA,5000,2013
971,CO,5415,2013
972,AZ,1706,2013
982,MT,543,2013
985,PA,657,2013
989,UT,643,2013
990,TX,1000,2013
991,FL,580,2013
995,PR,5795,2013
996,PR,17776,2013
999,IL,836,2013
1003,MO,2546,2013
1004,TN,1144,2013
1006,PR,46473,2013
1008,MD,10766,2013
1016,FL,2365,2013
1027,AL,629,2013
1036,PR,11531,2013
1042,OH,594,2013
1043,PR,56853,2013
1047,CA,5845,2013
1048,PA,1801,2013
1051,PR,28413,2013
940,IL,16446,2014
942,NY,6475,2014
957,TX,7500,2014
961,AZ,55207,2014
965,CA,5400,2014
968,CA,9861,2014
970,TX,5000,2014
973,TX,2260,2014
980,CA,55900,2014
981,KY,1079,2014
983,FL,586,2014
984,VA,5534,2014
986,KY,2992,2014
987,WA,8300,2014
988,CA,5499,2014
992,IL,1256,2014
993,TX,2934,2014
997,MI,2595,2014
998,CA,338700,2014
1000,KS,979,2014
1001,CT,527,2014
1005,CA,793,2014
1007,MS,3750,2014
1009,CA,2523,2014
1010,OH,617,2014
1011,IA,1400,2014
1012,ID,6900,2014
1013,MD,46771,2014
1014,PA,733,2014
1015,CO,12286,2014
1017,MA,8830,2014
1018,MD,2200,2014
1019,NY,4830,2014
1020,UT,9800,2014
1021,TX,1253,2014
1022,TX,2308,2014
1023,TX,1981,2014
1024,TX,2742,2014
1025,IN,1361,2014
1026,IA,862,2014
1029,OH,5696,2014
1033,CA,4744,2014
1034,TX,1000,2014
1035,NJ,1749,2014
1038,MI,502,2014
1039,NH,1208,2014
1040,KY,2962,2014
1044,CT,3814,2014
1045,KS,9640,2014
1046,PA,2589,2014
1049,IL,540,2014
1050,GA,1175,2014
1052,FL,1831,2014
1053,CA,33702,2014
1054,MI,2289,2014
1055,CA,5471,2014
